id_worker;password;dutyArea;work_hour
SUPm;Flor001;Gestor;all_day
JUNm;Flor002;Gestor;all_day
113168;Andre;Center;week_morning
502;estafeta2;North;week_morning
503;estafeta3;South;week_morning
504;estafeta4;East;week_morning
505;estafeta5;West;week_morning
506;estafeta6;Center;week_afternoon
507;estafeta7;North;week_afternoon
508;estafeta8;South;week_afternoon
509;estafeta9;East;week_afternoon
510;estafeta10;West;week_afternoon
511;estafeta11;Center;weekend_morning
512;estafeta12;North;weekend_morning
513;estafeta13;South;weekend_morning
514;estafeta14;East;weekend_morning
515;estafeta15;West;weekend_morning
516;estafeta16;Center;weekend_afternoon
517;estafeta17;North;weekend_afternoon
518;estafeta18;South;weekend_afternoon
519;estafeta19;East;weekend_afternoon
520;estafeta20;West;weekend_afternoon
